row,col,r,c,value,status
2024,PSC,1,1,882589,
2024,CAT-JUNTS+,1,2,681470,
2024,ERC,1,3,431128,
2024,PP,1,4,347170,
2024,VOX,1,5,251096,
2024,"COMUNS SUMAR",1,6,184297,
2024,CUP-DT,1,7,129059,
2024,ALIANÇA.CAT,1,8,119149,
2024,"Altres candidatures",1,9,94545,
2024,Total,1,10,3120503,
