row,col,r,c,value,status
2017,C's,1,1,1109732,
2017,JUNTSxCAT,1,2,948233,
2017,"ERC-Cat Sí",1,3,935861,
2017,PSC,1,4,606659,
2017,"Cat Comú-Podem",1,5,326360,
2017,CUP,1,6,195246,
2017,PP,1,7,185670,
2017,"Altres candidatures",1,8,49607,
2017,Total,1,9,4357368,
